site,date,sheet,time,transect,station,species,sex,repro,mass,length,tag,nc_rc
fraz,2023-06-28,3,,d,4,pele,m,ss,16,135,191,rc
fraz,2023-06-30,3,,b,13,pele,m,nr,13,135,193,rc
fraz,2023-06-27,2,,b,15,pele,m,ss,14,133,193,nc
fraz,2023-06-28,2,,b,15,pele,m,s,14,141,193,rc
fraz,2023-06-29,2,,b,15,pele,m,s,13,144,193,rc
fraz,2023-06-27,1,,a,5,pele,m,s,16.5,135,195,nc
fraz,2023-06-28,1,,a,5,pele,m,s,18.5,,195,rc
fraz,2023-06-29,1,,a,5,pele,m,s,18,forgot,195,
fraz,2023-06-30,1,,a,5,pele,m,s,17,130,195,rc
fraz,2023-06-28,3,,d,3,pele,f,nr,13.5,135,198,nc
fraz,2023-06-28,1,,c,9,pele,m,s,14.5,,199,nc
fraz,2023-06-30,3,,c,10,pele,m,nr,19,128,199,rc
fraz,2023-06-27,1,,a,17,pele,f,p,27,141,200,nc
fraz,2023-06-29,2,,a,17,pele,f,p,24.5,164,200,rc
fraz,2023-06-30,2,,a,18,pele,f,p,25,155,200,rc
fraz,2023-06-28,3,,d,10,pele,m,s,16.5,132,358,
fraz,2023-06-30,2,,d,14,pele,f,p,18.5,134,529,nc
fraz,2023-06-29,1,,a,19,pele,m,nr,16,127,530,nc
fraz,2023-06-30,2,,a,19,pele,m,nr,15.5,132,530,rc
fraz,2023-06-29,3,,c,11,scca,f,nr,290,444,531,nc
fraz,2023-06-29,1,,c,20,mipi,f,p,22.5,115,538,nc
fraz,2023-06-30,1,,a,7,pele,m,j,11.5,124,539,rc
fraz,2023-06-29,1,,a,8,pele,m,j,9.5,116,539,nc
fraz,2023-06-28,3,,d,1,tast,m,s,112,250,540,nc
fraz,2023-06-30,2,,d,4,tast,m,s,120.5,260,540,rc
fraz,2023-06-28,2,,d,19,pele,f,nr,16,136,541,nc
fraz,2023-06-29,1,,d,19,pele,f,p,15.5,134,541,rc
fraz,2023-06-30,2,,d,19,pele,f,p,16,150,541,rc
fraz,2023-06-28,1,,a,19,pele,m,j,8,,542,nc
fraz,2023-06-27,3,,d,16,pele,m,ss,20.5,140,543,nc
fraz,2023-06-28,2,,d,16,pele,m,s,22.5,140,543,rc
fraz,2023-06-30,2,,d,16,pele,m,s,21.5,151,543,rc
fraz,2023-06-28,3,,d,14,tast,f,nr,93.5,250,544,nc
fraz,2023-06-28,2,,b,15,pele,m,ss,17.5,146,545,rc
fraz,2023-06-30,3,,b,15,pele,m,nr,18,134,545,rc
fraz,2023-06-27,2,,d,4,pele,m,ss,17,137,545,nc
fraz,2023-06-27,2,,d,11,pele,f,p,15.5,130,546,nc
fraz,2023-06-28,3,,d,11,pele,f,p,13.5,125,546,rc
fraz,2023-06-27,2,,d,6,pele,f,p,19,131,547,nc
fraz,2023-06-27,2,,b,3,mipi,f,p,27,115,548,nc
fraz,2023-06-29,1,,a,19,pele,m,j,9.5,114,551,nc
fraz,2023-06-30,2,,a,19,pele,f,p,22,136,552,nc
fraz,2023-06-29,1,,a,18,pele,m,nr,13.5,122,559,nc
fraz,2023-06-28,3,,d,14,tast,m,s,98,210,566,nc
fraz,2023-06-27,1,,a,16,pele,f,nr,18.5,155,568,nc
fraz,2023-06-28,1,,a,16,pele,f,nr,13.5,,568,rc
fraz,2023-06-29,2,,a,17,pele,f,nr,18.5,161,568,rc
fraz,2023-06-27,1,,a,12,pele,f,p,6.5,135,569,nc
fraz,2023-06-28,1,,a,13,pele,f,p,21,,569,
fraz,2023-06-30,1,,a,13,pele,f,p,26,141,569,rc
fraz,2023-06-30,2,,d,11,pele,f,pl,13.5,128,570,rc
fraz,2023-06-27,3,,d,13,pele,f,p,17,123,570,nc
fraz,2023-06-28,2,,d,15,pele,f,p,17,135,570,rc
fraz,2023-06-28,1,,a,4,pele,m,nr,13.5,,571,rc
fraz,2023-06-30,1,,a,4,pele,m,nr,13,126,571,rc
fraz,2023-06-27,1,,a,5,pele,m,nr,14.5,115,571,nc
fraz,2023-06-28,1,,a,17,pele,m,ss,17.5,,572,rc
fraz,2023-06-30,2,,a,17,pele,m,ss,17,129,572,rc
fraz,2023-06-29,1,,a,18,pele,m,ss,16.5,125,572,rc
fraz,2023-06-27,1,,a,19,pele,m,s,18,125,572,nc
fraz,2023-06-27,1,,a,4,pele,f,nr,13,130,574,nc
fraz,2023-06-27,2,,c,16,pele,m,s,15.5,131,593,nc
fraz,2023-06-29,2,,c,19,pele,m,s,15,136,593,rc
fraz,2023-06-30,3,,c,11,pele,m,nr,18,136,645,nc
fraz,2023-06-27,2,,a,19,mipi,,,,,9905,
fraz,2023-06-27,2,,c,17,mipi,,,22.5,,9906,
fraz,2023-06-28,1,,c,17,blbr,f,nr,12,,9907,
fraz,2023-06-29,2,,d,1,pele,m,ss,17,150,191,
fraz,2023-06-30,4,,b,7,unkn,,,,,,
fraz,2023-06-28,2,,b,8,bird,,,,,,
fraz,2023-06-28,1,,c,17,blbr,f,p,15,,,
fraz,2023-06-30,3,,c,17,blca,f,nr,14,101,,
fraz,2023-06-30,3,,c,18,blca,m,nr,18.5,108,,
fraz,2023-06-29,1,,d,6,blbr,f,nr,16.5,110,,
gate,2023-05-31,1,,d,2,pele,m,nr,12.5,138,386,nc
gate,2023-05-31,1,,a,13,pele,m,nr,14.5,131,389,nc
gate,2023-05-30,1,,a,4,ocnu,m,nr,voucher,,395,nc
gate,2023-06-01,1,,b,17,pele,f,p,18,142,576,nc
gate,2023-06-02,1,,b,17,pele,f,pl,17.5,141,576,rc
gate,2023-05-30,1,,b,14,pele,m,nr,12.5,131,594,nc
gate,2023-05-31,1,,b,14,pele,m,nr,14,144,594,rc
gate,2023-06-01,1,,b,14,pele,m,nr,15.5,136,594,rc
gate,2023-05-30,1,,a,1,pele,f,nr,13.5,131,595,nc
hb,2023-06-23,1,,a,16,sihi,m,ss,97.5,212,178,nc
hb,2023-06-23,2,,d,14,rehu,m,nr,10,121,185,nc
hb,2023-06-23,2,,a,11,rehu,f,p,12.5,120,187,nc
hb,2023-06-22,1,,d,18,rehu,f,p,14,120,454,nc
hb,2023-06-22,1,,d,10,rehu,f,p,13,135,456,nc
hb,2023-06-22,1,,c,11,rehu,f,pl,10,118,506,nc
hb,2023-06-20,1,,b,2,sihi,m,s,183,250,507,nc
hb,2023-06-21,1,,c,14,rehu,f,p,9.5,119,509,nc
hb,2023-06-20,1,,b,10,sihi,m,s,84,210,515,nc
hb,2023-06-21,1,,b,2,sihi,f,pl,50,215,516,rc
hb,2023-06-20,1,,b,3,sihi,f,pl,133,200,516,nc
hb,2023-06-23,1,,b,18,rehu,f,p,15,129,524,rc
hb,2023-06-22,1,,b,19,rehu,f,p,13.5,128,524,nc
hb,2023-06-23,1,,c,10,rehu,f,p,8,110,527,nc
hb,2023-06-23,1,,d,10,rehu,f,p,10.5,115,528,nc
hb,2023-06-23,1,,b,15,sihi,m,s,133,225,590,nc
hb,2023-06-22,1,,d,20,rehu,f,p,11,115,600,nc
hb,2023-06-22,1,,a,15,rehu,m,s,8,110,709,nc
hb,2023-06-20,1,,c,11,rehu,f,p,9,na,na,
hb,2023-06-23,2,,a,15,rehu,f,p,12,132,,
liz,2023-07-26,1,,b,19,sihi,f,p,101.5,240,75,nc
liz,2023-07-28,1,,d,19,sihi,f,nr,88,240,75,rc
liz,2023-07-28,1,,c,4,tast,m,ss,114.5,223,1589,nc
liz,2023-07-27,1,,c,17,sihi,m,s,118,225,1595,nc
liz,2023-07-28,1,,c,20,sihi,m,s,118,240,1595,rc
liz,2023-07-25,1,,d,13,sihi,f,nr,94,220,1703,nc
liz,2023-07-26,2,,d,5,bird,,,,,,
main,2023-05-23,1,,a,20,pele,f,nr,20,142,305,nc
main,2023-05-25,1,,a,20,pele,f,nr,15,148,305,rc
main,2023-05-24,2,,c,6,pele,m,nr,15.5,132,307,rc
main,2023-05-23,1,,c,8,pele,m,nr,15,130,307,nc
main,2023-05-25,2,,c,13,pele,m,nr,14,131,307,rc
main,2023-05-23,1,,c,4,pele,m,nr,18,140,312,nc
main,2023-05-26,2,,c,7,pele,na,na,na,na,312,rc
main,2023-05-26,1,,a,3,pele,m,nr,14.5,131,331,rc
main,2023-05-25,1,,a,6,pele,m,nr,14,125,331,nc
main,2023-05-24,1,,c,2,pele,f,p,19,140,334,nc
main,2023-05-25,2,,c,19,pele,m,nr,16.5,135,338,nc
main,2023-05-24,2,,d,2,pele,f,p,17,132,352,nc
main,2023-05-25,2,,d,3,pele,f,p,17.5,134,352,rc
main,2023-05-26,2,,d,3,pele,f,p,18.5,,352,rc
main,2023-05-25,1,,a,15,pele,m,nr,21,140,354,rc
main,2023-05-26,1,,a,15,pele,m,nr,20.5,141,354,rc
main,2023-05-24,1,,a,18,pele,m,nr,20.5,154,354,nc
main,2023-05-23,2,,d,13,pele,f,nr,13,135,357,nc
main,2023-05-25,2,,d,14,pele,f,nr,13,123,357,rc
main,2023-05-26,2,,d,17,pele,f,nr,14,133,357,rc
main,2023-05-25,2,,c,20,pele,na,na,na,voucher ,360,rc
main,2023-05-24,2,,d,1,pele,m,nr,14,141,360,rc
main,2023-05-23,2,,d,3,pele,m,nr,16.5,131,360,nc
main,2023-05-24,1,,a,9,pele,f,nr,14.5,130,377,nc
main,2023-05-24,1,,b,18,sihi,f,j,20.5,145,378,nc
main,2023-05-24,2,,c,163,pele,m,j,9.5,105,379,nc
main,2023-05-26,2,,d,6,pele,m,nr,11.5,125,397,rc
main,2023-05-24,2,,d,7,pele,m,nr,13,124,397,nc
main,2023-05-24,1,,b,17,sihi,f,nr,113.5,230,452,nc
main,2023-05-24,3,,d,14,pele,m,nr,15,139,453,rc
main,2023-05-25,2,,d,14,pele,m,nr,15,127,453,rc
main,2023-05-23,2,,d,16,pele,m,nr,16,134,453,nc
main,2023-05-24,1,,a,8,pele,m,nr,16,140,455,nc
main,2023-05-25,1,,a,9,pele,m,nr,14,144,455,rc
main,2023-05-26,1,,a,9,pele,m,nr,14,144,455,rc
main,2023-05-26,1,,a,4,pele,f,nr,21.5,129,457,rc
main,2023-05-24,1,,a,8,pele,f,nr,16.5,138,457,nc
main,2023-05-24,2,,d,10,pele,f,nr,18,135,466,nc
main,2023-05-24,2,,c,8,pele,f,j,13,125,470,rc
main,2023-05-23,1,,c,11,pele,f,nr,13,130,470,nc
main,2023-05-24,2,,d,6,pele,m,nr,17.5,138,480,nc
main,2023-05-25,1,,a,17,pele,f,nr,17.5,141,482,rc
main,2023-05-23,1,,a,18,pele,f,nr,15.5,140,482,nc
main,2023-05-25,2,,c,17,pele,f,nr,13.5,127,483,rc
main,2023-05-26,2,,c,17,pele,f,nr,15.5,140,483,rc
main,2023-05-24,2,,c,20,pele,f,nr,14,137,483,nc
main,2023-05-26,1,,a,1,pele,f,nr,13.5,117,486,rc
main,2023-05-23,1,,a,2,pele,f,nr,14,130,486,nc
main,2023-05-23,1,,c,6,pele,f,nr,16,125,491,nc
main,2023-05-26,2,,c,8,pele,f,nr,14.5,135,491,rc
main,2023-05-24,2,,c,10,pele,f,nr,16,145,491,rc
main,2023-05-25,2,,c,99,pele,f,nr,16.5,130,491,rc
main,2023-05-24,1,,c,4,pele,f,nr,14.5,125,492,rc
main,2023-05-25,2,,c,4,pele,f,nr,11,128,492,rc
main,2023-05-23,1,,c,6,pele,f,nr,14,129,492,nc
main,2023-05-26,2,,c,6,pele,f,nr,13,133,492,rc
main,2023-05-24,1,,a,1,pele,m,nr,15,136,495,nc
main,2023-05-26,1,,a,2,pele,m,nr,19,133,495,rc
main,2023-05-25,1,,a,3,pele,m,nr,14,134,495,rc
main,2023-05-24,1,,c,3,pele,m,nr,14.5,123,498,rc
main,2023-05-26,2,,c,5,pele,m,j,11.5,120,498,rc
main,2023-05-25,2,,c,6,pele,m,nr,14,118,498,rc
main,2023-05-23,1,,c,7,pele,m,nr,15,133,498,nc
main,2023-05-26,1,,b,19,sihi,m,j,28,145,712,nc
main,2023-05-25,1,,a,18,pele,m,nr,16,153,713,nc
main,2023-05-26,1,,b,7,mipi,f,nr,29.5,116,767,nc
main,2023-05-25,1,,b,7,mipi,na,na,na,na,9908,
main,2023-05-25,1,,b,9,unkn,na,na,11,na,9909,
main,2023-05-26,1,,b,20,sihi,na,na,na,na,9910,
mars,2023-05-19,6,,c,13,pele,f,nr,16,135,313,nc
mars,2023-05-18,1,,c,5,pele,m,nr,18.5,130,321,nc
mars,2023-05-18,1,,c,13,tast,f,nr,114.5,260,326,nc
mars,2023-05-20,1,,c,13,tast,f,nr,121.5,270,326,rc
mars,2023-05-20,1,,b,5,pele,m,nr,22,156,405,rc
mars,2023-05-17,1,,b,9,pele,m,nr,22,150,405,nc
mars,2023-05-19,5,,b,9,pele,m,nr,24.5,155,405,rc
mars,2023-05-17,1,,b,13,pele,m,nr,22,160,406,nc
mars,2023-05-17,1,,c,10,pele,f,pl,16.5,145,409,nc
mars,2023-05-18,1,,c,12,pele,f,pl,16.5,144,409,
mars,2023-05-18,1,,b,1,pele,f,p,22.5,145,412,rc
mars,2023-05-20,1,,b,1,pele,f,pl,20.5,138,412,rc
mars,2023-05-17,1,,b,7,pele,f,p,21,143,412,nc
mars,2023-05-17,1,,a,8,pele,m,nr,18,134,432,nc
mars,2023-05-18,1,,a,8,pele,m,nr,18,140,432,rc
mars,2023-05-17,1,,a,2,tast,m,s,121,220,440,nc
mars,2023-05-18,1,,a,2,tast,m,s,119.5,220,440,rc
mars,2023-05-19,5,,a,2,tast,m,s,109.5,220,440,rc
mars,2023-05-19,6,,c,12,pele,m,nr,18.5,150,446,rc
mars,2023-05-17,1,,c,18,pele,f,p,20,142,446,nc
mars,2023-05-17,1,,b,17,pele,f,p,28,121,472,nc
mars,2023-05-17,1,,c,2,pele,f,p,21,132,473,nc
mars,2023-05-18,1,,c,2,pele,f,pl,18,144,473,rc
mars,2023-05-19,6,,c,2,pele,f,p,16,130,473,rc
mars,2023-05-20,1,,c,5,pele,f,nr,16,135,473,rc
mars,2023-05-19,6,,c,15,pele,NA,nr,14,140,479,rc
mars,2023-05-18,1,,c,18,pele,NA,nr,14,130,479,nc
mars,2023-05-20,1,,a,1,pele,m,nr,20.5,152,481,nc
mars,2023-05-20,1,,b,13,pele,m,nr,14.5,149,592,rc
mars,2023-05-17,1,,b,14,pele,m,nr,17,146,592,nc
mars,2023-05-19,6,,c,18,pele,m,j,10,114,695,
nance,2023-05-18,2,,c,20,pele,m,nr,17.5,140,44,nc
nance,2023-05-19,1,,c,11,pele,f,j,9.5,105,309,nc
nance,2023-05-19,1,,c,7,pele,m,nr,18.5,127,311,nc
nance,2023-05-17,2,,d,10,pele,m,j,14.5,110,322,nc
nance,2023-05-19,3,,d,11,pele,m,j,13,116,322,rc
nance,2023-05-17,2,,d,9,pele,f,pl,26,150,323,nc
nance,2023-05-18,3,,d,9,pele,f,p,21,160,323,rc
nance,2023-05-19,3,,d,10,pele,f,p,20,162,323,rc
nance,2023-05-19,1,,c,6,pele,m,nr,16.5,90,324,rc
nance,2023-05-18,1,,c,8,pele,m,nr,16.5,98,324,rc
nance,2023-05-17,1,,c,9,pele,m,nr,18.5,99,324,rc
nance,2023-05-16,2,,c,11,pele,m,nr,18.5,95,324,nc
nance,2023-05-16,2,,c,18,pele,f,nr,22.5,140,325,nc
nance,2023-05-17,1,,d,3,tast,f,nr,93.5,230,344,nc
nance,2023-05-18,2,,d,2,pele,f,p,24,145,345,rc
nance,2023-05-19,4,,d,2,pele,m,j,10.5,152,345,rc
nance,2023-05-17,2,,d,4,pele,f,nr,25,145,345,nc
nance,2023-05-19,4,,d,10,pele,m,nr,21.5,139,346,rc
nance,2023-05-17,2,,d,11,pele,m,nr,20,136,346,nc
nance,2023-05-18,3,,d,11,pele,m,ss,19,144,346,rc
nance,2023-05-19,3,,b,11,pele,f,p,20.5,130,347,rc
nance,2023-05-17,1,,b,12,pele,f,pl,20.5,132,347,nc
nance,2023-05-19,3,,a,2,pele,f,nr,24.5,130,348,rc
nance,2023-05-18,2,,a,3,pele,f,pl,17,131,348,rc
nance,2023-05-17,1,,a,7,pele,f,pl,18.5,137,348,nc
nance,2023-05-18,3,,b,2,pele,m,nr,18,130,349,nc
nance,2023-05-16,2,,c,18,pele,f,nr,16.5,110,350,nc
nance,2023-05-18,2,,c,18,pele,f,nr,15,116,350,rc
nance,2023-05-18,2,,c,17,pele,m,j,11.5,115,351,
nance,2023-05-18,3,,b,19,pele,f,p?,19,131,363,nc
nance,2023-05-19,1,,c,11,pele,m,j,11.5,121,364,rc
nance,2023-05-18,1,,c,12,pele,m,j,12.5,116,364,nc
nance,2023-05-17,1,,a,2,pele,m,nr,24.5,130,366,nc
nance,2023-05-18,2,,a,2,pele,m,nr,14.5,134,366,rc
nance,2023-05-17,1,,c,4,pele,m,nr,16.5,120,367,nc
nance,2023-05-19,4,,a,20,pele,m,nr,19.5,135,368,nc
nance,2023-05-17,1,,c,15,pele,f,pl,21,125,369,nc
nance,2023-05-18,1,,c,15,pele,f,p,18.5,127,369,rc
nance,2023-05-19,2,,c,15,pele,f,nr,18,134,369,rc
nance,2023-05-16,1,,c,2,pele,m,nr,11.5,120,370,nc
nance,2023-05-16,1,,c,1,pele,m,nr,15,125,371,nc
nance,2023-05-16,1,,c,7,pele,f,j,13,121,372,nc
nance,2023-05-17,1,,c,8,pele,f,nr,14,122,372,rc
nance,2023-05-18,1,,c,8,pele,f,nr,14.5,122,372,rc
nance,2023-05-19,1,,c,8,pele,f,j,13,137,372,rc
nance,2023-05-17,1,,c,6,pele,f,nr,19,126,373,rc
nance,2023-05-18,1,,c,6,pele,f,nr,16,130,373,rc
nance,2023-05-16,1,,c,7,pele,f,nr,15.5,125,373,nc
nance,2023-05-19,1,,c,7,pele,f,nr,15,125,373,rc
nance,2023-05-16,1,,b,4,pele,m,nr,21.5,160,400,nc
nance,2023-05-16,2,,c,12,pele,f,pl,17,140,403,nc
nance,2023-05-17,1,,c,13,pele,f,pl,16,140,403,rc
nance,2023-05-18,3,,d,3,pele,f,nr,20.5,121,404,nc
nance,2023-05-16,1,,c,3,pele,m,nr,15.5,139,408,nc
nance,2023-05-18,1,,c,4,pele,m,nr,15,118,408,rc
nance,2023-05-17,2,,c,20,pele,f,pl,15,135,414,nc
nance,2023-05-19,2,,c,20,pele,f,nr,16.5,129,414,rc
nance,2023-05-17,2,,c,17,pele,m,j,13.5,112,429,rc
nance,2023-05-16,2,,c,19,pele,m,j,11.5,121,429,nc
nance,2023-05-18,3,,d,17,tast,f,p,123.5,239,431,nc
nance,2023-05-17,1,,c,3,pele,f,nr,18,135,436,nc
nance,2023-05-18,2,,c,20,pele,f,nr,17,130,437,nc
nance,2023-05-17,1,,c,16,pele,m,nr,18.5,139,441,rc
nance,2023-05-18,1,,c,16,pele,m,nr,18,135,441,rc
nance,2023-05-19,2,,c,16,pele,m,nr,17.5,139,441,rc
nance,2023-05-16,2,,c,19,pele,m,nr,19,140,441,nc
nance,2023-05-16,1,,c,4,pele,f,nr,14.5,137,442,nc
nance,2023-05-18,1,,c,4,pele,f,nr,15,123,442,rc
nance,2023-05-19,1,,c,4,pele,f,nr,13.5,128,442,rc
nance,2023-05-19,2,,c,20,pele,m,nr,15.5,130,444,
nance,2023-05-19,1,,c,10,pele,f,p,19,134,445,rc
nance,2023-05-16,1,,c,11,pele,f,nr,20,135,445,nc
nance,2023-05-17,1,,c,11,pele,f,pl,20,150,445,rc
nance,2023-05-18,1,,c,11,pele,f,p,18.5,149,445,rc
nance,2023-05-17,1,,c,12,pele,f,nr,15,121,447,rc
nance,2023-05-16,2,,c,13,pele,f,nr,15.5,133,447,nc
nance,2023-05-18,1,,c,13,pele,m,nr,14.5,120,447,rc
nance,2023-05-19,2,,c,13,pele,f,nr,13,125,447,rc
nance,2023-05-16,2,,c,20,pele,f,pl,17.5,130,449,nc
nance,2023-05-19,4,,a,7,pele,m,nr,15,105,478,nc
nance,2023-05-19,4,,d,2,pele,f,nr,21.5,120,484,nc
nance,2023-05-19,2,,c,17,pele,m,nr,17.5,136,485,nc
nance,2023-05-19,3,,b,14,pele,f,p,21,134,488,nc
nance,2023-05-19,2,,c,12,pele,f,nr,18,143,493,nc
nance,2023-05-19,2,,c,18,pele,f,nr,17.5,125,499,nc
nance,2023-05-18,3,,b,5,pele,m,nr,20,140,500,nc
nance,2023-05-16,1,,c,8,pele,f,j,14,141,549,nc
nance,2023-05-19,1,,c,8,pele,f,nr/j?,13.5,125,549,rc
nance,2023-05-19,1,,c,4,pele,m,nr,16,130,550,rc
nance,2023-05-16,1,,c,5,pele,m,nr,17,131,550,nc
nance,2023-05-17,1,,c,6,pele,m,nr,16.5,125,550,rc
nance,2023-05-17,1,,c,11,pele,m,nr,16,123,591,nc
nance,2023-05-17,1,,d,2,pele,m,s,22,141,604,
nance,2023-05-18,2,,d,2,pele,m,nr,18.5,136,604,
nance,2023-05-19,4,,d,4,pele,m,s,22.5,134,604,rc
nance,2023-05-17,2,,d,4,pele,m,nr,14.5,133,606,nc
nance,2023-05-19,4,,d,9,pele,m,j,12.5,120,611,rc
nance,2023-05-17,2,,d,12,pele,m,j,12.5,120,611,nc
nance,2023-05-19,4,,d,6,pele,f,j,11,120,634,rc
nance,2023-05-17,2,,d,8,pele,f,j,11,118,634,nc
nance,2023-05-17,2,,d,8,pele,m,s,28,151,658,nc
nance,2023-05-19,3,,a,2,pele,m,ss,17.5,149,703,rc
nance,2023-05-18,2,,a,4,pele,m,nr,19.5,150,703,rc
nance,2023-05-17,1,,a,6,pele,m,nr,20,142,703,nc
nance,2023-05-17,1,,a,15,pele,f,p,18.5,121,704,nc
nance,2023-05-19,4,,a,15,pele,f,nr,17.5,135,704,rc
nance,2023-05-17,2,,d,18,pele,m,nr,13,137,733,nc
nance,2023-05-17,1,,d,1,pele,f,p,22,143,760,nc
nance,2023-05-18,3,,d,7,pele,m,nr,23,154,658,
nance,2023-05-19,4,,d,8,pele,m,nr,20.5,160,658,
nance,2023-05-17,1,,a,16,pele,,,,,,
nance,2023-05-17,1,,b,5,amma,,,,,,
noon,2023-07-21,2,,a,12,pele,m,ss,20.5,150,1701,nc
noon,2023-07-20,4,,c,1,pele,f,nr,19,166,1702,nc
noon,2023-07-20,5,,c,18,pele,m,s,19.5,145,1704,nc
noon,2023-07-21,5,,c,18,pele,m,s,20.5,151,1704,rc
noon,2023-07-20,5,,c,19,pele,f,nr,18.5,146,1705,nc
noon,2023-07-21,1,,c,19,pele,f,nr,17.5,150,1705,rc
noon,2023-07-21,2,,d,8,sihi,m,s,63.5,200,1706,nc
noon,2023-07-21,1,,c,3,pele,f,nr,17,158,1708,nc
noon,2023-07-21,1,8:40am,b,15,glvo,m,s,66,210,1709,nc
noon,2023-07-21,2,,b,18,pele,m,nr,18,149,1710,rc
noon,2023-07-20,4,,b,19,pele,m,ss,17,147,1710,nc
noon,2023-07-21,5,,b,16,pele,f,p,17.5,135,1711,nc
noon,2023-07-21,2,,a,20,pele,f,p,18,136,1712,nc
noon,2023-07-21,5,,c,18,pele,f,nr,18.5,138,1714,nc
noon,2023-07-21,3,,a,1,pele,m,s,23.5,154,1715,nc
noon,2023-07-21,5,,b,2,pele,m,ss,19,147,1719,nc
noon,2023-07-21,3,,a,1,pele,f,p,23.5,144,1720,rc
noon,2023-07-18,2,,b,10,pele,f,p,19,145,1720,nc
noon,2023-07-19,2,,c,11,pele,m,ss,19.5,134,1721,nc
noon,2023-07-21,5,,c,13,pele,f,nr,17.5,146,1721,rc
noon,2023-07-20,1,,d,8,sihi,m,s,103,250,1722,nc
noon,2023-07-21,2,,d,11,sihi,m,s,71,230,1724,rc
noon,2023-07-20,3,,d,20,sihi,m,ss,80.5,230,1724,nc
noon,2023-07-18,2,,b,3,pele,NA,,19,133,1726,nc
noon,2023-07-19,2,,b,10,pele,NA,nr*,17,129,1726,rc
noon,2023-07-20,4,,b,10,pele,NA,nr,15,142,1726,rc
noon,2023-07-21,5,,b,2,pele,f,p,15,136,1727,rc
noon,2023-07-18,2,,b,3,pele,f,nr,15,148,1727,nc
noon,2023-07-19,2,,b,5,pele,f,nr,18.5,125,1727,rc
noon,2023-07-20,3,,b,5,pele,f,p,16,135,1727,rc
noon,2023-07-19,2,,b,11,pele,m,nr,17,141,1728,
noon,2023-07-21,5,,b,12,pele,m,ss,21.5,147,1728,
noon,2023-07-19,2,,b,11,pele,m,ss,22.5,165,1729,rc
noon,2023-07-20,4,,b,15,pele,m,ss,21,151,1729,rc
noon,2023-07-18,3,,b,16,pele,m,ss,32.5,154,1729,nc
noon,2023-07-20,4,,b,16,pele,f,nr,11.5,134,1730,rc
noon,2023-07-18,3,,b,19,pele,f,p,18,144,1730,nc
noon,2023-07-18,3,,b,18,pele,f,nr,16.5,145,1731,nc
noon,2023-07-20,4,,b,18,pele,f,nr,17,145,1731,rc
noon,2023-07-20,6,,c,12,pele,f,p,19.5,124,1732,rc
noon,2023-07-19,3,,c,13,pele,f,nr,15.5,134,1732,rc
noon,2023-07-21,5,,c,13,pele,f,nr,14.5,144,1732,rc
noon,2023-07-18,3,,c,15,pele,f,nr,15,134,1732,nc
noon,2023-07-20,5,,c,13,tast,NA,nr,87,250,1733,rc
noon,2023-07-18,3,,c,18,tast,NA,nr,89,240,1733,nc
noon,2023-07-21,3,,d,1,sihi,m,j,23,146,1734,rc
noon,2023-07-20,2,,d,18,sihi,m,j,33,146,1734,nc
noon,2023-07-19,1,,a,5,pele,f,pl,16.5,138,1735,nc
noon,2023-07-20,2,,a,5,pele,f,nr,16,136,1735,rc
noon,2023-07-20,2,,a,10,pele,f,p,20,175,1736,nc
noon,2023-07-20,1,,d,11,sihi,f,nr,66,225,1737,nc
noon,2023-07-19,2,,c,1,pele,NA,nr,19,160,1738,nc
noon,2023-07-21,1,,c,1,pele,NA,nr,18,165,1738,rc
noon,2023-07-20,3,,b,9,pele,f,p,16,134,1739,nc
noon,2023-07-21,5,,b,9,pele,f,nr,9,132,1739,rc
noon,2023-07-20,2,,a,6,pele,m,nr,18,148,1740,nc
noon,2023-07-20,2,,a,3,pele,m,ss,23.5,147,1741,nc
noon,2023-07-21,3,,a,10,pele,m,s,25,147,1741,rc
noon,2023-07-19,1,,d,18,sihi,f,p,128.5,275,1742,nc
noon,2023-07-21,2,,d,18,sihi,f,p,124,270,1742,rc
noon,2023-07-20,3,,d,19,sihi,f,p,127,280,1742,rc
noon,2023-07-20,1,,d,5,sihi,f,nr,78,180,1743,nc
noon,2023-07-21,3,,d,2,sihi,f,j,20,146,1744,rc
noon,2023-07-20,1,,d,3,sihi,f,j,21,150,1744,rc
noon,2023-07-19,1,,d,18,sihi,f,j,33,124,1744,nc
noon,2023-07-20,3,,b,12,pele,m,ss,19,135,1745,nc
noon,2023-07-19,1,,d,8,sihi,m,s,134.5,265,1747,nc
noon,2023-07-20,1,,d,9,sihi,m,s,131,270,1747,rc
noon,2023-07-19,2,,a,11,pele,f,p,19,143,1748,nc
noon,2023-07-20,2,,a,6,pele,f,p,19.5,157,1749,nc
noon,2023-07-21,2,,a,6,pele,f,p,21,154,1749,rc
noon,2023-07-20,1,,d,14,sihi,m,j,20.5,141,1750,nc
noon,2023-07-20,6,,c,18,pele,f,nr,21.1,166,1770,
noon,2023-07-21,5,,c,11,pele,m,ss,18.5,155,1771,rc
noon,2023-07-20,4,,c,15,pele,m,ss,29.5,144,1771,rc
noon,2023-07-18,3,,c,16,pele,m,ss,21,159,1771,nc
noon,2023-07-19,3,,c,16,pele,m,s,18.5,154,1771,rc
noon,2023-07-19,2,,b,3,tast,m,nr,112,265,1772,nc
noon,2023-07-20,4,,b,16,tast,m,nr,100.5,250,1772,rc
noon,2023-07-21,1,,b,19,tast,m,ss,104,250,1772,rc
