"","y","param","estse","test","pval"
"1","esg6","Intercept","5.320 ± 0.913","5.825","<0.001"
"2","esg6","Intercept","4.597 ± 1.444","3.184","0.004"
"3","esg6","areaha","0.019 ± 0.030","0.652","0.522"
"4","esg6","Intercept","-2.212 ± 4.578","-0.483","0.634"
"5","esg6","shape","5.841 ± 3.485","1.676","0.109"
"6","esg6","Intercept","4.574 ± 1.887","2.424","0.024"
"7","esg6","age","0.018 ± 0.040","0.454","0.654"
"8","esg6","Intercept","5.293 ± 1.096","4.829","<0.001"
"9","esg6","island","<0.001 ± 0.007","0.046","0.964"
"10","esg6","Intercept","7.519 ± 1.080","6.961","<0.001"
"11","esg6","pct_imp_perim","-0.158 ± 0.053","-2.964","0.007"
"12","esg6","Intercept","4.608 ± 3.084","1.494","0.150"
"13","esg6","tree","0.018 ± 0.076","0.242","0.811"
"14","esg6","Intercept","3.762 ± 1.614","2.332","0.030"
"15","esg6","imp","0.078 ± 0.067","1.167","0.256"
"16","esg6","Intercept","7.887 ± 1.396","5.652","<0.001"
"17","esg6","forest","-0.115 ± 0.050","-2.297","0.032"
"18","esg6","Intercept","1.040 ± 1.751","0.594","0.559"
"19","esg6","dev","0.072 ± 0.026","2.749","0.012"
"20","esg6","Intercept","5.856 ± 1.016","5.764","<0.001"
"21","esg6","open","-0.072 ± 0.061","-1.167","0.256"
"22","esg6","Intercept","4.191 ± 1.199","3.497","0.002"
"23","esg6","popden","0.228 ± 0.161","1.413","0.172"
"24","esg6","Intercept","1.919 ± 1.865","1.029","0.315"
"25","esg6","income","<0.001 ± <0.001","2.050","0.053"
"26","esg6","Intercept","5.110 ± 1.342","3.808","0.001"
"27","esg6","povrate","0.019 ± 0.086","0.218","0.830"
