"spp","dist","sd","n","mmdm"
"mipi",0,NA,1,14.2345815066771
"mumu",19.845,23.1962087419475,4,24.8964101022249
"pego",17.0577777777778,27.1347115231477,9,17.0577777777778
"pele",25.1531102362205,53.2666220505444,254,25.1531102362205
"rano",24.23,23.3468391864937,3,20
"rehu",7.78,NA,1,27.9
"sihi",30.2646428571429,52.1858929059017,28,30.2646428571429
"tast",24.4646153846154,22.8625379953701,13,24.4646153846154
"scca",NA,NA,NA,55.4
"glvo",NA,NA,NA,156.39
"ocnu",NA,NA,NA,43.2
"blca",NA,NA,NA,20.3
